age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,blue-collar,married,below high-school,no,no,no,telephone,summer,mon,261,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,white-collar,married,high.school,no,yes,no,telephone,summer,mon,226,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,white-collar,married,below high-school,no,no,no,telephone,summer,mon,151,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,white-collar,married,high.school,no,no,yes,telephone,summer,mon,307,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,white-collar,married,professional.course,no,no,no,telephone,summer,mon,139,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
24,white-collar,single,professional.course,no,yes,no,telephone,summer,mon,380,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
25,white-collar,single,high.school,no,yes,no,telephone,summer,mon,50,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
25,white-collar,single,high.school,no,yes,no,telephone,summer,mon,222,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,blue-collar,single,high.school,no,no,yes,telephone,summer,mon,137,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,blue-collar,divorced,below high-school,no,yes,no,telephone,summer,mon,293,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,146,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,married,below high-school,no,yes,no,telephone,summer,mon,312,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,blue-collar,married,below high-school,no,yes,yes,telephone,summer,mon,353,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
30,unemployed,married,high.school,no,no,no,telephone,summer,mon,38,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
55,retired,single,high.school,no,yes,no,telephone,summer,mon,342,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,white-collar,single,high.school,no,yes,no,telephone,summer,mon,181,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,white-collar,married,high.school,no,yes,no,telephone,summer,mon,172,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,white-collar,married,university.degree,no,no,yes,telephone,summer,mon,99,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,blue-collar,divorced,below high-school,no,no,no,telephone,summer,mon,208,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
